Translate,en,kr,vi
ORDER.DROPOFF_EMPCONTAINER,Need to drop off empty container?,빈 컨테이너를 내려야 합니까?,Cần đi trả công rỗng?
ORDER.DROPOFF_EMPADDRESS,,,
ORDER.NOTE_TODRIVER,Note to Driver,배송기사에게 메시지,Ghi chú khác cho tài xế
ORDER.ADDITIONAL_INFO,Additional Info,부가 정보,Thông tin khác
ORDER.ADDITIONAL_PRICE,Additional Price,추가 가격,Phụ phí
ORDER.PRICE,Propose Price,가격을 설정하시겠습니까?,Bạn muốn đề xuất mức giá?
ORDER.DISTANCE,Distance from pickup to dropoff location,상차지 - 하차지 거리,Khoảng cách từ điểm lấy hàng đến điểm giao hàng
ORDER.PRICE_NOTE,"Price is optional, input if you want a specific price. Otherwise you can negotiate directly with the truck owner for the most suitable price","원하시는 가격을 입력해 주세요. (옵션) 미입력 시, 트럭 사업자와 합리적인 가격을 직접 협상할 수 있습니다.","Nhập mức giá đề xuất nếu bạn muốn, nếu không bạn có thể thương lượng trực tiếp với chủ xe để có được mức giá tốt nhất"
ORDER.PRICE_REQUEST,Distance from pickup to dropoff location,상차지 - 하차지 거리,Khoảng cách từ điểm lấy hàng đến điểm giao hàng
ORDER.VAT,VAT Need,VAT 인보이스가 필요합니까?,Bạn cần hóa đơn VAT?
ORDER.VAT_INFO,VAT information,VAT 정보,Thông tin VAT
ORDER.VAT_NOT_FILL,"There is no available VAT information for this order yet, please check with customer.",아직 이 주문에 대한 VAT 정보가 없습니다. 고객에게 확인하십시오,"Chưa có thông tin xuất Hoá đơn VAT, vui lòng liên hệ với khách hàng để cập nhật"
ORDER.NO_VAT,This order does not require VAT invoice,이 주문에는 VAT 인보이스가 필요하지 않습니다,Đơn hàng này không yêu cầu Hóa đơn VAT
ORDER.PAYMENT_TYPE,Payment Type,결제 유형,Phương thức thanh toán
ORDER.PAYMENT_AMOUNT,Payment Amount,결제 금액,Số tiền thanh toán
ORDER.SELECT_SERVICE,Select type of service,서비스 유형을 선택하세요.,Chọn loại dịch vụ
ORDER.INCHARGE_NAME,Person in charge's name,담당자 성명,Tên người quản lý đơn hàng
ORDER.INCHARGE_NAMENOTE,"Supervisor who directly manage this order, could be different from the account holder",주문을 직접 관리하는 담당자는 계정 주인과 다를 수 있습니다.,"Người trực tiếp quản lý đơn hàng, có thể khác với chủ tài khoản"
ORDER.INCHARGE_CONTACTNO,Person in charge's contact NO,담당자 연락처,ĐT người quản lý đơn hàng
ORDER.OTHERGENERALNOTES,Other general notes,기타 메시지,Các ghi chú khác
ORDER.DETAIL_REQUEST,Your detailed request,세부 요청사항,Yêu cầu chi tiết của bạn
ORDER.DETAIL_REQUEST_TRUCK,Detailed request,세부 요청사항,Yêu cầu chi tiết
ORDER.DETAIL_REQUESTNOTE,"Need to ship 3 cont cashew from Binh Duong to Ho Chi Minh, pick up by 11PM 20 Dec 2020 ...",Binh Duong에서 호치민까지 3개의 컨테이너 캐슈를 배송해야합니다. 2020년 12월 20일 오후 11시까지 픽업하십시오 ...,"Cần chở 3 cont bao tải hạt điều từ Bình Dương lên HCM, lấy hàng trước 23h ngày 20/12/2020 ..."
ORDER.STAFF_NOTE,Admin note 1,관리자 노트 1,Ghi chú cho Admin 1
ORDER.STAFF_ANOTHERNOTE,Admin note 2,관리자 노트 2,Ghi chú cho Admin 2
ORDER.ROUTE_MAP,Route Map,노선도,Bản đồ lộ trình
ORDER.CREATED_TITLE,Create your order,주문을 생성하세요.,Tạo đơn hàng
ORDER.THANKYOU_TITLE,Thank you!,감사합니다!,Cảm ơn!
ORDER.THANKYOU_MESSAGE,Your order has been created successfully!,주문이 성공적으로 생성되었습니다.,Đơn hàng của bạn đã được tạo thành công!
ORDER.THANKYOU_MOREINFO,Below are the order summary. You can always manage your created order by clicking <strong><i>Manage Orders</i></strong> on the left menu,아래에 주문 요약이 있습니다. 왼쪽 메뉴에서 <strong><i>주문 관리</i></strong>를 클릭하여 언제나 주문을 관리할 수 있습니다.,Bạn có thể xem lại thông tin đơn hàng bên dưới. Bạn có thể chỉnh sửa các đơn hàng đã tạo bằng cách vào mục <strong><i>Quản lý đơn hàng</i></strong> ở menu bên trái.
ORDER.SUMMARY_TITLE,Summary,주문 요약,Thông tin đơn hàng
ORDER.SUMMARY_CREATEDBY_TITLE,Created By,생성자,Thông tin người tạo đơn
ORDER.SUMMARY_TRUCKOWNER_TITLE,Truck Owner Summary,트럭 사업자 요약,Thông tin chủ xe
ORDER.SUMMARY_DRIVERS_TITLE,Drivers Summary,배송기사 요약,Thông tin các tài xế
ORDER.SUMMARY_TRUCKS_TITLE,Trucks Summary,트럭 요약,Thông tin các xe tải
ORDER.SUMMARY_SERVICETYPE,Type of transportation,배송 유형,Loại xe
ORDER.SUMMARY_BASIC_INFO,Basic Order Info,기본 주문 정보,Thông tin cơ bản đơn hàng
ORDER.SUMMARY_DRIVER_TRUCK_INFO,Driver & Truck Info,기사 및 트럭 정보,Thông tin Tài xế & Xe
ORDER.SUMMARY_TRACKING,Tracking & Status,트랙킹 및 상태,Theo dõi & Trạng thái
ORDER.PAYMENT_NOTES,Payment Notes,지불 메모,Ghi chú thanh toán
ORDER.PAYMENT_DUE_DATE,Payment Due Date,지불 기한,Hạn thanh toán
ORDER.PICKUP_COMPANY,Pick up Company,상차 회사,Công ty nhận hàng
ORDER.DROPOFF_COMPANY,Drop off Company,하차 회사,Công ty giao hàng
ORDER.TRUCK_OWNER_NAME,Name of Truck Owner,트럭 관리자 이름,Tên Chủ Xe
ORDER.DRIVER_IDCARD_NO,Driver's ID card NO,기사 운전면허번호,Số CMND tài xế
ORDER.PICKUP_DOC,Pickup & Delivery handover documents,상차지 및 하차지 제출 서류,Tài liệu Giao nhận
ORDER.CONTACT_US,Contact us,문의,Liện hệ chúng tôi
ORDER.OUR_EMAIL,Our Email,이메일,Email
ORDER.OUR_HOTLINE,Our Hotline,핫라인,Hotline
ORDER.TRACKING_SECTION,Tracking section,배송 조회,Thông tin lộ trinhf
ORDER.TRACKING_TITLE,Tracking,배송 조회,Lộ trình
ORDER.DISTANCE_PICKUP,Distance to pickup,상차지까지의 거리,Khoảng cách đến điểm lấy hàng
ORDER.DISTANCE_DROPOFF,Distance to drop off,하차지까지의 거리,Khoảng cách đến điểm giao hàng
ORDER.TRACKING_TRUCK_NAME,Truck name,Truck name,Tên xe
ORDER.TRACKING_TRUCK_SPEED,Speed,Speed,Vận tốc
ORDER.TRACKING_TRUCK_RUNNING,Running,Running,Chạy
ORDER.TRACKING_TRUCK_STOP,Stop,Stop,Dừng
ORDER.TRACKING_TRUCK_LOST_SIGNAL,Lost signal,Lost signal,Mất tín hiệu
ORDER.TRACKING_TRUCK_ADDRESS,Address,Address,Địa chỉ
ORDER.TRACKING_TRUCK_DRIVING_TIME,Driving time,Driving time,Thời gian chạy
ORDER.VIEW_GPS_DEVICE,View GPS device,View GPS device,Xem thiết bị GPS
ORDER.GPS_DEVICE,GPS device,GPS device,Thiết bị GPS
ORDER.REVIEW_DRIVING_ROUTE,Review driving route,Review driving route,Xem lại tuyến đường
ORDER.VIEW,View,View,Xem
ORDER.DOWNLOAD,Download,Download,Tải về
ORDER.VEHICLE,Vehicle,Vehicle,Phương tiện
ORDER.FROM,From,From,Từ
ORDER.TO,To,To,Đến
ORDER.WAYPOINT,Waypoint,Waypoint,Điểm lộ trình
ORDER.DATE_TIME,Date/Time,Date/Time,Ngày/Giờ
ORDER.LOCATION,Location,Location,Vị trí
ORDER.ACTIONLOG_CREATED,Order created,주문이 생성되었습니다.,Đơn hàng khởi tạo
ORDER.ACTIONLOG_ASSIGNED,Driver found,배송기사를 검색했습니다.,Tìm thấy tài xế
ORDER.ACTIONLOG_DISPATCHED,Order Dispatched,주문이 배정되었습니다.,Sắp xếp xe đi lấy hàng
ORDER.ACTIONLOG_PICKING,Start driving,상차지 출발,Bắt đầu đi lấy hàng
ORDER.ACTIONLOG_PICK_ARRIVED,Arrive pickup,상차지 도착,Đến điểm lấy hàng
ORDER.ACTIONLOG_PCODEINPUTED,Pick up code is inputted,상차 코드가 입력되었습니다,Đã nhập mã lấy hàng
ORDER.ACTIONLOG_DELIVERING,Start delivering,배송 시작,Bắt đầu giao hàng
ORDER.ACTIONLOG_DCODEINPUTTED,Delivery code is inputted,배송 코드가 입력되었습니다.,Đã nhập mã giao hàng
ORDER.ACTIONLOG_DELIVERED,Delivered,배송 완료,Hoàn thành
ORDER.PROFILE,Profile,프로필,Hồ sơ
ORDER.TRUCKOWNER_COMPANY,Truck company name (if any),트럭 회사명 (있는 경우),Tên của công ty vận tải (nếu có)
ORDER.TRUCKOWNER_NAME,Truck owner name,트럭 사업자 이름,Tên chủ xe
ORDER.TRUCKOWNER_PHONE,Truck owner Contact No,트럭 사업자 연락처,SĐT chủ xe
ORDER.TRUCKOWNER_EMAIL,Truck owner Email,트럭 사업자 이메일,Email chủ xe
ORDER.CREATEDBY_EMAIL,Created By,생성자,Đơn hàng được tạo bởi
ORDER.CREATEDBY_NAME,Name,고객 이름,Tên người tạo
ORDER.CREATEDBY_ACCOUNT_ROLE,Account Role,유형,Phân quyền
ORDER.CREATEDBY_PHONE_NUMBER,Phone number,전화번호,Số điện thoại
ORDER.NEW_TITLE,New Order,새로운 주문,Đơn hàng mới
ORDER.NEW_FILTER,"Display all new orders regardless of truck type, region and pay load","트럭 유형, 지역 및 적재량에 관계없이 모든 신규 주문 표시","Hiển thị tất cả các đơn đặt hàng mới không phân biệt loại xe, khu vực và tải trọng"
ORDER.EDIT_TITLE,Edit Order,주문 변경,Chỉnh sửa đơn hàng
ORDER.NO_ITEM,No items,목록 없음,Chưa có đơn hàng
ORDER.DRIVER_NOTES,Driver notes,배송기사 노트,Ghi chú của người giao
ORDER.COL_PICKUP_ADDRESS,Pickup Address,상차지 주소,Lấy hàng
ORDER.COL_DROPOFF_ADDRESS,Drop off Address,하차지 주소,Giao hàng
ORDER.ORDER_COL_VEHICLETYPE,Vehicle Type,차량 타입,Loại phương tiện
ORDER.ORDER_COL_PRICE,Propose Price,제안 가격,Giá
ORDER.CURENCY,VND,VND,VND
ORDER.ORDER_COL_CREATED_DATE,Created date,날짜 생성,Ngày tạo
ORDER.DATE_TIME_FORMAT,(DD/MM/YY),(DD/MM/YY),(DD/MM/YY)
ORDER.ORDER_EDIT_LABEL,Edit,수정,Chỉnh sửa
ORDER.REPORTS_LABEL,Pickup & Delivery handover documents,화물 수취 확인서,Biên bản giao nhận hàng hóa
ORDER.INVOICES_LABEL,"Receipts, Documents, EIR ","영수증, 서류, EIR","Hóa đơn, chứng từ, phiếu EIR"
ORDER.CATEGORIES_LABEL,Category,항목,Hạng mục
ORDER.IMG_LABEL,Photos,사진,Hình Ảnh
ORDER.FOLDER_TITLE,Documents,서류,Tài liệu
ORDER.OTHERS_LABEL,Other documents,기타 서류,Giấy tờ khác
ORDER.PAYMENT_STEP,Input Payment Information,결제 정보 입력,Nhập thông tin thanh toán
ORDER.TRUCK_STEP,Input Truck Information,트럭 정보 입력,Nhập kích thước hàng
ORDER.ADDRESS_STEP,Input Address Information,주소지 입력,Nhập địa chỉ giao nhận
ORDER.SUGGESTED_PRICE,TADA Suggested Price (VND),TADA의 제안가격 (VND),Giá TADA đề xuất (VND)
ORDER.USE_SUGGESTED_PRICE,Use suggested price,권장 가격 사용,Sử dụng giá đề xuất
ORDER.USE_MY_PRICE,I want to input My own price,내 가격을 입력하고 싶어요,Tôi muốn nhập giá của mình
ORDER.USE_QUOTE_PRICE,Quote me the best price,가장 적합한 가격 요청,Hãy báo cho tôi giá tốt nhất
ORDER.SPECIAL_REQUEST,Other Special Request,기탁 특별 요구사항,Yêu cầu đặc biệt khác
ORDER.ADJUSTMENT_AMOUNT,Adjustment Amount,조정 금액,Mức điều chỉnh
ORDER.ADJUSTMENT_BY_TRUCK,(Suggested by Truck Owner),(트럭 소유자 제안가),(Đề xuất bởi Chủ Xe)
ORDER.FORKLIFT_COST,Forklift cost,지게차 비용,Phí nâng hạ
ORDER.LABOUR_COST,Labour cost,인건비,Phí bốc xếp
ORDER.ROAD_FEE,Road fee,도로 요금,Phí cầu đường
ORDER.WAITING_FEE,Waiting free,무료 대기,Phí chờ
ORDER.INCENTIVES,Incentives,인센티브,Tiền thưởng
ORDER.OTHERS,Others,기타,Khác
ORDER.OTHER_PAYMENT_NOTES,Input notes,메모 입력,Nhập ghi chú
ORDER.EDIT_PRICE,Edit Price (VND),가격 수정 (VND),Chỉnh sửa giá
ORDER.WEIGHT,(tons),(톤),(tấn)
ORDER.MIXED,Allow mixed loading,혼합 적재 허용,Cho phép ghép hàng
ORDER.FORKLIFT,Require forklift driver,지게차 운전자 필요,Cần tài xế sử dụng xe nâng
ORDER.SELECT_ALL,Select all,모두 선택,Tất cả
ORDER.MULTIPLE,(Multiple),여러 정차,(Nhiều địa điểm)
ORDER.PAYMENT_DONE,Payment Done,결제 완료,Đã thanh toán
ORDER.PAYMENT_DONE_CUSTOMER,Payment done by customer,고객 결제 완료,Khách hàng đã thanh toán
ORDER.PAYMENT_DONE_TRUCK,Payment done by truckowner,트럭 소유주 결제 완료,Chủ xe đã xác nhận thanh toán
ORDER.PER_TRUCK,/ per truck),/트럭 당),/ mỗi xe)
ORDER.MANAGER_NAME_NO,Order manager name/contact,주문 관리자 이름 / 연락처,tên / sdt người quản lý đơn hàng
ORDER.PROPOSED_PRICE,Proposed Price,제안 가격,Giá đề xuất
ORDER.COST_TYPE,Choose the cost type,비용 유형 선택,Chọn loại chi phí
ORDER.ASSIGN_TO_FAV,Assign order to specific truck owner,특정 트럭 소유자에게 주문 할당,Chỉ định chủ xe cụ thể nhận đơn
ORDER.ADD_NEW_FAV,Add new favorite truckowner,좋아하는 트럭 소유자 추가,Thêm Chủ xe yêu thích
TRUCKOWNER.SERVICE_TITLE,My Services,나의 서비스,Dịch vụ của tôi
TRUCKOWNER.TRUCKSERVICE_LABEL,My available truck service,이용 가능한 트럭 서비스,Tôi chỉ cung cấp dịch vụ
TRUCKOWNER.TRUCKSERVICE_ALL,All types of truck,모든 유형의 트럭,Tất cả các loại xe
TRUCKOWNER.TRUCKSERVICE_TRAILORTRACTOR,Trailor tractor truck,트레일러 트럭,Xe công-te-nơ
TRUCKOWNER.TRUCKSERVICE_NORMAL,Normal Truck/Van,보통 트럭,Xe tải các loại
TRUCKOWNER.PICKUPZONE_LABEL,My pickup zone,나의 상차지 구역,Tôi chỉ nhận đơn hàng đi từ
TRUCKOWNER.PICKUPZONE_ALL,All,모두 선택,Tất cả
TRUCKOWNER.CUSTOMER_INFO,Customer Info,고객 정보,Thông tin khách hàng
TRUCKOWNER.CUSTOMER_COMPANY,Customer company name,고객 회사명,Tên/Tên công ty của khách hàng
TRUCKOWNER.CUSTOMER_PHONE,Customer Contact No,고객 연락처,ĐT liên hệ với khách hàng
TRUCKOWNER.CUSTOMER_EMAIL,Customer Email,고객 이메일,Email của khách hàng
TRUCKOWNER.ASSIGN_TITLE,Assign Truck & Driver,트럭 & 배송기사 지정,Chọn xe và tài xế
TRUCKOWNER.NEW_TITLE,New Truck owner,새로운 트럭 사업자,Tạo chủ xe mới
TRUCKOWNER.EDIT_TITLE,Edit Truck owner,트럭 사업자 변경,Chỉnh sửa thông tin chủ xe
TRUCKOWNER.MANAGE_TITLE,Manage Truck owners,트럭 사업자 관리,Quản lý chủ xe
TRUCKOWNER.FORGOT_MESSAGE,Please input your email address to reset your password,비밀번호 변경을 위해 이메일 주소를 입력해 주세요.,Vui lòng nhập email mà bạn đã đăng ký với TADA dành cho Chủ xe để thiết lập lại mật khẩu của bạn
TRUCKOWNER.PUBLIC_ID,Partner ID,파트너 ID,Mã đối tác
TRUCKOWNER.MANAGE_RESTORE_TITLE,Manage Deleted Truck Owners,삭제된 트럭 사업자 관리,Quản lý tài khoản chủ xe đã bị xóa
TRUCKOWNER.STATUS_ASSIGNED,Accepted,수락,Đồng ý
TRUCKOWNER.STATUS_DISPATCHED,Job started,작업 시작,Sắp xếp xe
TRUCKOWNER.STATUS_PICKING,Picking up,집화,Đi lấy hàng
TRUCKOWNER.STATUS_PICKARRIVED,Pick up arrived,상차지 도착,Đợi lấy hàng
TRUCKOWNER.STATUS_DELIVERING,Delivering,배송 중,Đi giao hàng
TRUCKOWNER.STATUS_DELIVERED,Delivered,배송 완료,Hoàn thành
TRUCKOWNER.STATUS_CUSTCANCEL,Customer Cancelling,고객이 취소,Khách hủy
TRUCKOWNER.STATUS_DRIVERCANCEL,Driver Cancelling,취소 중,Tài xế hủy
TRUCKOWNER.STATUS_CANCELLED,Cancelled,취소 완료,Đã hủy
TRUCKOWNER.CONTAINERSIZE_LABEL,My Container size,나의 컨테이너 사이즈,Kích cỡ công của tôi
TRUCKOWNER.TRUCKPAYLOAD_LABEL,My Truck payload,나의 트럭 탑재량,Tải trọng xe của tôi
TRUCKOWNER.BANK_ACCOUNT_TITLE,Bank Account Information,은행 계좌 정보,Thông tin Tài khoản Ngân hàng
TRUCKOWNER.BANK_NAME,Bank Name,은행 이름,Tên ngân hàng
TRUCKOWNER.BANK_BRANCH,Bank Branch,은행 지점,Chi nhánh
TRUCKOWNER.BANK_ACCOUNT_HOLDER_NAME,Bank account holder name,은행 계좌 소유자 이름,Tên chủ tài khoản
TRUCKOWNER.BANK_ACCOUNT_NUMBER,Bank account number,은행 계좌 번호,Số tài khoản
TRUCKOWNER.MY_ORDERS,My orders,내 작업,Đơn hàng của tôi
TRUCK.ID,Id,Id,Id
TRUCK.TITLE,My trucks,나의 트럭,Danh sách xe
TRUCK.NEW_TITLE,New Truck Info,새로운 트럭 정보,Thông tin xe mới
TRUCK.TYPE,Truck Type,트럭 유형,Loại xe
TRUCK.PLATE_NO,Truck Plate NO,트럭 차량번호,Biển số xe
TRUCK.LOAD,Truck Load,트럭 톤수,Tải trọng xe
TRUCK.CERIFICATE,Upload Certification of registry,차량등록증 업로드,Tải lên giấy đăng ký xe
TRUCK.STATUS,Status,상태,Trạng thái
TRUCK.STATUS_NOTE,Please upload Certificate of Registry to have account verified,계정 인증을 위해 차량등록증을 업로드해 주시기 바랍니다.,Hãy tải lên bản chụp CMND hoặc giấy phép KD công ty để xác thực tài khoản
TRUCK.SELECT_TITLE,Select the truck,트럭 선택,Chọn xe chở hàng
TRUCK.ASSIGN_LABEL,Assign to Truck,트럭 배정,Chọn xe chở hàng
TRUCK.ADD_NEW,Add New Truck,트럭 추가,Thêm mới xe chở hàng
TRUCK.EDIT_TITLE,Edit Truck Info,트럭 정보 변경,Chỉnh sửa thông tin xe
TRUCK.MANAGE_TITLE,Manage Trucks,트럭 관리,Quản lý xe chở hàng
DRIVER.TITLE,My drivers,나의 배송기사,Danh sách tài xế
DRIVER.NEW_TITLE,New Driver Info,새로운 트럭 사업자 정보,Thông tin tài xế mới
DRIVER.NAME,Driver Name,배송기사 이름,Tên tài xế
DRIVER.PHONE,Phone NO,전화번호,Điện thoại
DRIVER.ID,Driver Card ID,배송기사 신분증,CMND
DRIVER.CARD_FRONT,Upload Driver ID Card (front),배송기사 신분증(앞면) 업로드,Tải lên CMND (mặt trước)
DRIVER.CARD_BACK,Upload Driver ID Card (back),배송기사 신분증(뒷면) 업로드,Tải lên CMND (mặt sau)
DRIVER.LICENCE_CARD,Upload Driver License Card (front),운전 면허증(앞면) 업로드,Tải lên giấy phép lái xe
DRIVER.STATUS,Status,상태,Trạng thái
DRIVER.STATUS_NOTE,Please upload Driver Card ID NO and Driver License to have account verified,계정 인증을 위해 운전 면허증을 업로드해 주세요.,Hãy tải lên bản chụp CMND hoặc bằng lái xe để xác thực tài khoản
DRIVER.SELECT_TITLE,Select Driver,배송기사 선택,Chọn tài chở hàng
DRIVER.ASSIGN_LABEL,Assign to Driver,배송기사에게 배정,Chọn tài chở hàng
DRIVER.ADD_NEW,Add New Driver,배송기사 추가,Thêm tài mới
DRIVER.ADMIN_NEW_TITLE,New Driver,새로운 배송기사,Thêm tài mới
DRIVER.EDIT_TITLE,Edit Driver,배송기사 변경,Chỉnh sửa thông tin tài xế
DRIVER.MANAGE_TITLE,Manage Drivers,배송기사 관리,Quản lý tài xế
JOB.TITLE,My jobs,나의 작업,Đơn hàng của tôi
JOB.ONGOING_TITLE,On-going jobs,진행 중인 작업,Đơn hàng đang thực hiện
JOB.PAST_TITLE,Past jobs,완료된 작업,Lịch sử đơn hàng
JOB.CUSTOMER_NAME,Customer Name,고객 이름,Tên khách hàng
JOB.CUSTOMER_EMAIL,Customer Email,고객 이메일,Email khách hàng
JOB.DOCUMENT,Documents,문서,Hóa đơn chứng từ
JOB.ORDER_NOTE,Click on Order ID to see Summary Info,요약 정보를 보기 위해 주문 ID를 클릭하세요.,Nhấn vào mã đơn hàng để xem thông tin chi tiết
JOB.THANKYOU_TITLE,Thank you for accepting the order!,주문을 수락해 주셔서 감사합니다.,Cảm ơn bạn đã chấp nhận đơn hàng!
JOB.THANKYOU_MESSAGE,Please contact customer to negotiate more on the price and contract (if any),가격과 계약 협상을 위해 고객에게 연락하세요. (필요한 경우),Vui lòng liên hệ với khách hàng để thương lượng thêm về giá cả và hợp đồng (nếu có)
ADMIN_MENU.CUSTOMER,Customers,고객,Khách hàng
ADMIN_MENU.DRIVER,Drivers,배송기사,Tài xế
ADMIN_MENU.TRUCKOWNER,Truck owners,트럭 사업자,Chủ xe
ADMIN_MENU.ADMIN_ACCOUNT,Admin accounts,관리자 계정,Tài khoản quản trị
ADMIN_MENU.ORDER,Orders,주문,Đơn hàng
ADMIN_MENU.REPORT,Reports,리포트,Báo cáo
ADMIN_MENU.AUDIT_LOG,Audit logs,감사 로그,Nhật ký chỉnh sửa
ADMIN_MENU.NOTIFICATION,Notification,알림,Thông báo
ADMIN_MENU.SMSSETTING,Sms Setting,문자(SMS) 설정,Cài đặt Sms
ADMIN_MENU.SETTING,Settings,설정,Thiết lập
ADMIN_MENU.LOG_OUT,Log out,로그아웃,Thoát
ADMIN_MENU.FORGOT_MESSAGE,Please input your email address to reset your password,비밀번호 변경을 위해 이메일 주소를 입력해 주세요.,Vui lòng nhập email của bạn để thiết lập lại mật khẩu
ADMIN_MENU.SMSSETTINGTITLE,Sms Configuration,문자(SMS) 구성,Cài đặt Sms
NOTIFICATION.TITLE,Title,주제,Tiêu đề
NOTIFICATION.BODY,Body,내용,Nội dung
NOTIFICATION.CREATED_DATE,Created Date,생성일,Ngày tạo
NOTIFICATION.SOURCE_TYPE,From,송부,Từ
NOTIFICATION.SEND_TO,Send this notification to?,이 알림을 보내시겠습니까?,Gửi thông báo này đến?
NOTIFICATION.MANAGE_TITLE,Manage Notifications,알림 관리,Quản lý các thông báo
NOTIFICATION.CREATE_TITLE,Create Notification,알림 생성,Tạo thông báo
NOTIFICATION.EDIT_TITLE,Edit Notification,알림 설정,Chỉnh sửa thông báo
NOTIFICATION.TYPE,Type of Notification,알림 유형,Loại thông báo
NOTIFICATION.CONTENT,Information,정보,Thông tin
NOTIFICATION.READED,Is Readed?,확인하셨습니까?,Đã đọc?
AUDIT_LOG.MODULE,Role,유형,Role
AUDIT_LOG.MANAGE_TITLE,Manage Audit Logs,감사 로그 관리,Quản lý Nhật ký chỉnh sửa
AUDIT_LOG.ACTION,Action,실행,Thao tác
AUDIT_LOG.CREATED_DATE,Action Date,실행일,Ngày thao tác
AUDIT_LOG.CREATED_BY,Action By,실행인,Thao tác bởi
AUDIT_LOG.CONTENT,Information,정보,Thông tin
AUDIT_LOG.PHONE_NUMBER,Phone number,전화 번호,Số điện thoại
ADMIN.ROLE,Admin Roles,관리자 역할,Phân quyền
ADMIN.NEW_ACCOUNT,New Admin Account,새로운 관리자 계정,Tài khoản quản trị mới
ADMIN.EDIT_ACCOUNT,Edit Admin Account,관리자 계정 변경,Chỉnh sửa tài khoản quản trị
ADMIN.ROLE_ADMIN,Admin,관리자,Quản trị
ADMIN.ROLE_SUPERADMIN,Super Admin,상위 관리자,Quản trị viên cấp cao
ADMIN.CREATED_DATE,Created date,생성일,Tạo ngày
ADMIN.UPDATED_DATE,Updated date,업데이트일,Cập nhật ngày
ADMIN.CREATE_BY,Created by,생성인,Tạo bới
ADMIN.COL_ACTIONS,Actions,실행,Hoạt động
ADMIN.MANAGE_ACCOUNT,Manage Admin Accounts,관리자 계정 관리,Quản lý tài khoản quản trị
ADMIN.SELECTED_ITEMS,selected item(s),선택된 목록,mục đã được chọn
ADMIN.ACCEPT_SMS,Order accepted,오더 수락됨,Tin nhắn chấp nhận đơn hàng
ADMIN.CANCELLED_SMS,Order cancelled,오더 취소됨,Tin nhắn hủy đơn hàng
ADMIN.COMPLETE_SMS,Order completed,오더 완료됨,Hoàn thành đơn hàng
ADMIN.DRIVER_DELIVER_SMS,Driver delivering,배송중,Tài đang giao
ADMIN.DRIVER_PICKUP_SMS,Driver pickup,픽업중,Tài đã lấy hàng
ADMIN.MANAGE_PAYMENTS,Admin Manage Payments,관리자 결제 관리,Quản lý thanh toán
ADMIN.LAST_ACTIVE_DATE,Last active date,마지막 활성 날짜,Hoạt động lần cuối
MESSAGES.SELECTED_ITEMS,You haven't selected any items!,목록을 선택하지 않으셨습니다!,Bạn chưa chọn bất kì mục nào!
MESSAGES.FORGOT_SUCCESS,An email have sent to your email. Please check your email.,메일이 전송되었습니다. 이메일을 확인해 주세요.,Một email đã được gửi cho bạn. Vui lòng kiểm tra mail
MESSAGES.CONFIRM_DELETE,Are you sure you want to delete?,정말 삭제하시겠습니까?,Bạn có chắc bạn muốn xóa?
MESSAGES.CONFIRM_PUBLISH,Do you want to publish this quotation to customer?,Do you want to publish this quotation to customer?,Bạn có muốn xuất bản báo giá này cho khách hàng không?
MESSAGES.CONFIRM_VERIFY,Are you sure to you want to verify this user?,해당 사용자를 인증 하시겠습니까?,Bạn có muốn xác thực người dùng này?
MESSAGES.CONFIRM_RESET,Are you sure you want to reset?,변경하시겠습니까?,Bạn có chắc bạn muốn thiết lập lại?
MESSAGES.CONFIRM_CANCEL,Are you sure you want to cancel?,정말 취소하시겠습니까?,Bạn có chắc bạn muốn hủy?
MESSAGES.CONFIRM_RESTORE,Are you sure to restore this account?,이 계정을 복원시키겠습니까?,Bạn có chắc bạn muốn khôi phục lại tài khoản này?
MESSAGES.DELETE_SUCCESS,Deleted successfully,삭제되었습니다.,Đã xóa thành công
MESSAGES.PUBLISH_SUCCESS,Published successfully,Published successfully,Xuất bản thành công
MESSAGES.VERIFY_SUCCESS,Verified successfully,인증 완료,Đã xác thực thành công
MESSAGES.UPDATE_SUCCESS,Updated successfully,업데이트 되었습니다.,Đã cập nhật thành công
MESSAGES.CREATED_SUCCESS,Created successfully,생성되었습니다.,Đã tạo thành công
MESSAGES.IMAGE_SIZE,Image size < 3MB,이미지 크기 < 3MB,Hình ảnh < 3MB
MESSAGES.IMAGE_SIZE_LIMIT,(Image size < 3Mbs) (< 6 images),사진 업로드 (이미지 크기<3Mbs) (<6 이미지),(kích thước < 3Mbs) (< 6 ảnh)
MESSAGES.LOGIN_FAIL,Login fail,로그인 실패,Đăng nhập lỗi
MESSAGES.CREATE_ERROR,Can not create user,계정을 생성할 수 없습니다.,Không thể tạo tài khoản
MESSAGES.EMAIL_EXIST,Email existed,이메일이 존재합니다.,Email đã tồn tại
MESSAGES.INVALID,invalid,올바르지 않습니다.,Không đúng
MESSAGES.ERROR,An error occurred please try again later,오류가 발생하였으니 다시 시도해 주세요.,"Một lỗi đã xảy ra, vui lòng thử lại sau"
MESSAGES.NOT_FOUND,Not found,찾을 수 없습니다.,Không tìm thấy
MESSAGES.SELF_DELETE,Cannot delete yourself,삭제하실 수 없습니다.,Không thể xóa bản thân
MESSAGES.SUPER_ADMIN_DELETE,Cannot delete super admin,상위 관리자는 삭제하실 수 없습니다.,Không thể xóa quản trị viên cao cấp
